address,registers,format,name,scale,store
0x0,8,modbus_string,Name,1,2
0x8,8,modbus_string,SerialNumber,1,2
0x10,1,bitfield,MeterType,1,2
0x11,2,modbus_string,FirmwareVersion,1,2
0x13,1,uint16,MapVersion,1,2
0x14,1,bitfield,MeterConfiguration,1,2
0x15,1,uint16,ASICVersion,1,2
0x383,2,float32,PowerFast,1,3
0x385,2,float32,VARFast,1,3
0x387,2,float32,VAFast,1,3
0x3e7,2,float32,VoltsAN,1,3
0x3e9,2,float32,VoltsBN,1,3
0x3eb,2,float32,VoltsCN,1,3
0x3ed,2,float32,VoltsAB,1,3
0x3ef,2,float32,VoltsBC,1,3
0x3f1,2,float32,VoltsCA,1,3
0x3f3,2,float32,AmpsA,1,3
0x3f5,2,float32,AmpsB,1,3
0x3f7,2,float32,AmpsC,1,3
0x3f9,2,float32,Power,1,3
0x3fb,2,float32,VAR,1,3
0x3fd,2,float32,VA,1,3
0x3ff,2,float32,PowerFactor,1,3
0x401,2,float32,Frequency,1,3
0x403,2,float32,AmpsN,1,3
